City,ST,Population,Country,Latitude,Longitude
South Fulton,GA,110920,United States,33.666666666666664,-84.56666666666666
Miami Gardens,FL,110717,United States,25.95,-80.23333333333333
Gresham,OR,110685,United States,45.5,-122.43333333333334
Temecula,CA,110682,United States,33.483333333333334,-117.13333333333334
Rio Rancho,NM,110660,United States,35.28333333333333,-106.7
Peoria,IL,110460,United States,40.75,-89.61666666666666
Tyler,TX,110327,United States,32.31666666666667,-95.31666666666666
Sparks,NV,110323,United States,39.56666666666667,-119.71666666666667
Concord,NC,110119,United States,35.38333333333333,-80.63333333333334
Santa Maria,CA,109987,United States,34.93333333333333,-120.43333333333334
Ventura,CA,109058,United States,34.266666666666666,-119.25
Buckeye,AZ,108909,United States,33.43333333333333,-112.63333333333334
Downey,CA,108816,United States,33.93333333333333,-118.13333333333334
Sugar Land,TX,108515,United States,29.583333333333332,-95.63333333333334
Costa Mesa,CA,108354,United States,33.666666666666664,-117.91666666666667
Conroe,TX,108248,United States,30.316666666666666,-95.48333333333333
Spokane Valley,WA,108235,United States,47.666666666666664,-117.23333333333333
Davie,FL,107799,United States,26.083333333333332,-80.28333333333333
Hillsboro,OR,107730,United States,45.53333333333333,-122.93333333333334
Jurupa Valley,CA,107321,United States,34.0,-117.46666666666667
Centennial,CO,106883,United States,39.583333333333336,-104.86666666666666
Edison,NJ,106836,United States,40.5,-74.35
Boulder,CO,105898,United States,40.016666666666666,-105.25
Dearborn,MI,105811,United States,42.31666666666667,-83.21666666666667
Edinburg,TX,105799,United States,26.316666666666666,-98.16666666666667
Sandy Springs,GA,105793,United States,33.93333333333333,-84.36666666666666
Green Bay,WI,105744,United States,44.516666666666666,-87.98333333333333
West Covina,CA,105617,United States,34.06666666666667,-117.91666666666667
Brockton,MA,104890,United States,42.083333333333336,-71.01666666666667
St. George,UT,104578,United States,37.083333333333336,-113.56666666666666
Bend,OR,104557,United States,44.06666666666667,-121.31666666666666
Renton,WA,104491,United States,47.483333333333334,-122.18333333333334
Lee's Summit,MO,104184,United States,38.916666666666664,-94.38333333333334
Fishers,IN,104094,United States,39.96666666666667,-85.96666666666667
El Monte,CA,103794,United States,34.06666666666667,-118.03333333333333
South Bend,IN,103395,United States,41.68333333333333,-86.26666666666667
Rialto,CA,103391,United States,34.11666666666667,-117.38333333333334
Woodbridge,NJ,103194,United States,40.56666666666667,-74.28333333333333
El Cajon,CA,102991,United States,32.8,-116.96666666666667
Inglewood,CA,102865,United States,33.96666666666667,-118.33333333333333
Burbank,CA,102755,United States,34.18333333333333,-118.33333333333333
Wichita Falls,TX,102691,United States,33.916666666666664,-98.53333333333333
